Station_ID,Station_Name
1,Birmingham New Street
2,Bristol Temple Meads
3,Cardiff Central
4,Coventry
5,Crewe
6,Didcot
7,Doncaster
8,Durham
9,Edinburgh
10,Edinburgh Waverley
11,Leeds
12,Leicester
13,Liverpool Lime Street
14,London Euston
15,London Kings Cross
16,London Paddington
17,London St Pancras
18,London Waterloo
19,Manchester Piccadilly
20,Nottingham
21,Nuneaton
22,Oxford
23,Peterborough
24,Reading
25,Sheffield
26,Stafford
27,Swindon
28,Tamworth
29,Wakefield
30,Warrington
31,Wolverhampton
32,York
